Date,RequestedQTY,GoodsIssuedQTY,InvoicedQTY,PDO number,req_Illy,req_Teddy,req_Thun,req_other,inv_Illy,inv_Teddy,inv_Thun,inv_other,req_ThunB2B,req_ThunB2C,req_ThunB2B_AA,req_ThunB2B_PP,req_ThunB2B_Sorter,req_ThunB2B_Sort_BVB,req_ThunB2B_Sort_SM,req_ThunB2B_SortSM_10more_no,req_ThunB2B_SortSM_10more_yes,Thun_PDOs,req_BowlPros,inv_BowlPros,AVGperPDO_Thun_ReqQ,AVGperPDO_Thun_SKU,AVGperPDOThunB2B_ReqQ,AVGperPDOThunB2B_InvQ,AVGperPDOThunB2B_SKU,AVGperPDOThunB2B_PDOs,AVGperPDOThunB2C_ReqQ,AVGperPDOThunB2C_InvQ,AVGperPDOThunB2C_SKU,AVGperPDOThunB2C_PDOs,AVGperPDOThunB2Bsort_ReqQ,AVGperPDOThunB2Bsort_InvQ,AVGperPDOThunB2Bsort_SKU,ThunB2Bsort_PDOs,AVGperPDOThunB2Bpp_ReqQ,AVGperPDOThunB2Bpp_InvQ,AVGperPDOThunB2Bpp_SKU,ThunB2Bpp_PDOs,AVGperPDOThunB2Baa_ReqQ,AVGperPDOThunB2Baa_InvQ,AVGperPDOThunB2Baa_SKU,ThunB2Baa_PDOs,AVGperPDO_ReqQ,AVGperPDO_InvQ,AVGperPDO_SKU,BOL_B2B Thun,BOL_B2B AA Thun,BOL_B2B P&P Thun,BOL_B2B Sorter Thun,BOL_B2B Sorter SM Thun,BOL_B2B Sorter BVB Thun,BOL_B2B Sorter riassortimenti WHS,BOL_B2C Thun,BOL_B2C Sorter Thun,BOL_B2C P2L Thun,BOL_Inbound Thun
3/13/2017,279352,275748,274408,12670,16976,0,262366,10,15636,0,258762,10,261046,1320,19710,33348,207988,9817,198171,12282,185889,10713,0,0,24.49043219,4.623728181,25.24867008,24.90057065,4.710320147,10339,3.529411765,3.516042781,2.229946524,374,34.94130399,34.36801734,6.844422211,5997,20.32501599,20.28214971,1.808701216,1563,7.101475351,7.067650234,1.736955739,2779,22.36355641,21.97001679,4.352362677,,,,,,,,,,,
3/20/2017,221748,217490,216246,10156,17361,0,204316,71,16117,0,200059,70,203102,1214,57434,23207,122461,11573,110888,7889,102999,7933,0,0,25.7551998,5.151771083,26.72746414,26.16923279,5.272009475,7599,3.634730539,3.589820359,2.416167665,334,30.5002445,29.5596577,8.642787286,4090,20.33333333,20.24003887,1.556851312,1029,23.15846774,23.03790323,1.254435484,2480,22.17666467,21.62477504,4.601179764,,,,,,,,,,,
3/27/2017,218108,212519,211688,11817,11635,0,206433,40,10804,0,200844,40,205340,1093,44211,27644,133485,16465,117020,8537,108483,10422,0,0,19.82661677,5.45164076,20.16877637,19.6211363,5.505347856,10191,4.731601732,4.696969697,3.082251082,231,28.23565272,27.43241539,9.697288207,4757,30.89170507,29.65322581,2.125576037,868,9.726018397,9.575996496,1.780551905,4566,18.71492358,18.17413704,5.14468487,,,,,,,,,,,
4/3/2017,184668.002,183172,182301,8678,16486,0,168003.002,179,15595,0,166527,179,165940.002,2063,46794,24895,94251.002,8773,85478.002,5164.002,80314,6574,0,0,25.52525129,4.782628537,27.40863271,27.17115925,4.963122209,6047,3.914611006,3.838709677,2.711574953,527,30.34041248,29.90797941,8.156692407,3108,34.75280899,34.85955056,1.698033708,712,20.96901661,20.89357881,1.550067355,2227,21.51154717,21.22235117,4.244632703,,,,,,,,,,,
4/10/2017,200508.002,197314,196440,10082,15995,0,184417.002,96,15121,0,181223,96,182808.002,1609,16515,28073,138220.002,14384,123836.002,8620,115216.002,8185,0,0,22.53109371,4.892119731,23.43391898,23.02845789,4.997692604,7801,4.190104167,4.109375,2.747395833,384,27.37975972,26.86940225,6.638192937,5069,59.67191011,59.52808989,2.748314607,445,7.637079143,7.413205072,1.799300394,2287,20.1860984,19.781471,4.490301071,,,,,,,,,,,
4/17/2017,148158,143192,142426,8618,13097,0,135012,49,12331,0,130051,44,134315,697,19053,25715,89547,7683,81864,11198,70666,6964,0,0,19.38713383,4.406232051,19.9398753,19.2033848,4.482333729,6736,3.057017544,3.057017544,2.157894737,228,20.02396804,19.02685308,5.711495783,4506,20.75339982,20.67361741,1.474161378,1103,18.80745342,18.47027507,2.511978705,1127,17.44457533,16.76722818,4.053363176,,,,,,,,,,,
4/24/2017,138818,132950,132230,8261,12988,0,125734,96,12268,0,119866,96,124950,784,15713,24024,85213,8374,76839,6197,70642,6531,0,0,19.25187567,4.295973052,19.9028353,18.96877987,4.384358076,6278,3.098814229,3.083003953,2.102766798,253,23.39867841,21.87527533,5.837004405,3632,20.72984563,20.68181818,1.632933105,1166,10.6722973,10.48648649,2.987162162,1480,17.11247998,16.29505975,3.943821609,,,,,,,,,,,
5/1/2017,259828,228528,227625,11978,14141,0,245589,98,13238,0,214289,98,244462,1127,63811,24793,155858,17630,138228,10809,127419,10109,0,0,24.29409437,5.786230092,25.12456321,21.90791367,5.931140802,9730,2.973614776,2.968337731,2.065963061,379,27.83005947,26.83438457,8.395386556,5549,19.64344569,19.4928839,2.367790262,1335,22.4205903,13.43534786,2.797962052,2846,22.06972602,19.33997795,5.298583425,,,,,,,,,,,
5/8/2017,248543,245751,244959,11683,15103,0,233338,102,14311,0,230546,102,232313,1025,97572,23251,111490,12072,99418,8986,90432,9806,0,0,23.79543137,4.279114828,24.59119297,24.29564941,4.364560178,9447,2.855153203,2.855153203,2.030640669,359,24.99307881,24.44228622,6.831658852,4479,17.61978362,17.59196291,1.654559505,1294,26.55661404,26.47795318,2.311377246,3674,21.55483199,21.23999305,4.005383346,,,,,,,,,,,
5/15/2017,155912,152925,151868,8776,16676,124,139022,90,15619,30,136130,89,137750,1272,17721,22698,97331,10478,86853,7271,79582,6699,0,0,20.75264965,4.657113002,21.96269133,21.50191327,4.819355867,6272,2.978922717,2.974238876,2.274004684,427,26.65820257,26.13751783,6.865335235,3505,21.9442623,21.70081967,2.966393443,1220,11.3387201,10.84227537,1.645119586,1547,18.19108206,17.72837633,4.191899148,,,,,,,,,,,
