Date,RequestedQTY,GoodsIssuedQTY,InvoicedQTY,PDO number,req_Illy,req_Teddy,req_Thun,req_other,inv_Illy,inv_Teddy,inv_Thun,inv_other,req_ThunB2B,req_ThunB2C,req_ThunB2B_AA,req_ThunB2B_PP,req_ThunB2B_Sorter,req_ThunB2B_Sort_BVB,req_ThunB2B_Sort_SM,req_ThunB2B_SortSM_10more_no,req_ThunB2B_SortSM_10more_yes,Thun_PDOs,req_BowlPros,inv_BowlPros,AVGperPDO_Thun_ReqQ,AVGperPDO_Thun_SKU,AVGperPDOThunB2B_ReqQ,AVGperPDOThunB2B_InvQ,AVGperPDOThunB2B_SKU,AVGperPDOThunB2B_PDOs,AVGperPDOThunB2C_ReqQ,AVGperPDOThunB2C_InvQ,AVGperPDOThunB2C_SKU,AVGperPDOThunB2C_PDOs,AVGperPDOThunB2Bsort_ReqQ,AVGperPDOThunB2Bsort_InvQ,AVGperPDOThunB2Bsort_SKU,ThunB2Bsort_PDOs,AVGperPDOThunB2Bpp_ReqQ,AVGperPDOThunB2Bpp_InvQ,AVGperPDOThunB2Bpp_SKU,ThunB2Bpp_PDOs,AVGperPDOThunB2Baa_ReqQ,AVGperPDOThunB2Baa_InvQ,AVGperPDOThunB2Baa_SKU,ThunB2Baa_PDOs,AVGperPDO_ReqQ,AVGperPDO_InvQ,AVGperPDO_SKU,BOL_B2B Thun,BOL_B2B AA Thun,BOL_B2B P&P Thun,BOL_B2B Sorter Thun,BOL_B2B Sorter SM Thun,BOL_B2B Sorter BVB Thun,BOL_B2B Sorter riassortimenti WHS,BOL_B2C Thun,BOL_B2C Sorter Thun,BOL_B2C P2L Thun,BOL_Inbound Thun
2020-10-05,286844.965,279289.0,276963.0,16050,26199.0,24926.0,227544.965,8175.0,23860.0,20170.0,224787.0,8146.0,219216.59,8328.375,6251.0,26378.0,186587.59,22073.59,164514.0,6064.0,158450.0,9210.0,0.0,0.0,24.698476112920734,6.232356134636265,30.578368685459107,30.233603125872172,7.081914596706669,7166.0,4.084332191780821,3.943737769080234,3.2539138943248527,2044.0,47.69421792152704,47.17073170731707,11.559384941675505,3772.0,21.132051282051282,21.016025641025642,3.125,1560.0,3.411123227917121,3.239367502726281,1.2388222464558345,1834.0,18.655804987921915,18.026571782986228,5.580727296467977,,,,,,,,,,,
2020-10-12,416224.0,390466.0,388249.0,23975,25118.0,19301.0,362701.0,9104.0,22892.0,13148.0,343128.0,9081.0,350722.0,11979.0,79453.0,45746.0,225523.0,38196.0,187327.0,4484.0,182843.0,16676.0,0.0,0.0,21.987706884144878,5.2908371312065245,27.538700411458734,26.036953652666718,6.089666951323656,12881.0,3.1465085638998684,3.0861660079051383,2.5794466403162057,3795.0,54.40739769150053,52.980849947534104,15.087355718782792,3812.0,25.331757289204102,25.114263199369578,3.908589440504334,2538.0,12.713673250650745,10.668963405297813,1.6854999234420456,6531.0,17.88456135870259,16.69310007236198,4.894606904184225,,,,,,,,,,,
2020-10-19,362439.3,336943.3,335157.3,21351,25413.0,25290.0,304312.3,7424.0,23626.0,19551.0,284571.3,7409.0,295981.3,8331.0,44329.0,25675.0,225977.3,40696.0,185281.3,5844.0,179437.3,14706.0,0.0,0.0,21.083523731810146,5.013055895552836,24.17380818844644,22.60245973880298,5.348049034532488,12481.0,3.7487640449438198,3.6907865168539327,3.133932584269663,2225.0,39.91802792321118,37.721867364746934,9.64153577661431,5730.0,17.963747908533186,17.738427216954825,2.795872838817624,1793.0,8.223880597014926,6.887858007260992,1.3089955627269059,4958.0,17.79323939584037,16.451396998504073,5.064469430101818,,,,,,,,,,,
2020-10-26,423357.0,415059.0,411990.0,27048,41683.0,19581.0,341257.0,20836.0,38533.0,15234.0,337493.0,20730.0,331737.0,9520.0,55680.0,41054.0,235003.0,42393.0,192610.0,10148.0,182462.0,16564.0,0.0,0.0,20.101726636078247,4.354382999275537,23.59640928331631,23.33717705444461,4.643555685301416,13702.0,3.3707197763801537,3.29664570230608,2.96995108315863,2862.0,30.777521379123115,30.379801818922218,7.2769105470340705,7367.0,31.561904761904763,31.405194805194807,1.9896103896103896,1155.0,11.607335907335909,11.522200772200772,1.4901544401544402,5180.0,16.282825926357948,15.797464909211087,4.273805357906606,,,,,,,,,,,
2020-11-02,430540.65,422061.65,418383.65,27247,34672.0,11229.0,374302.65,10337.0,30961.0,8214.0,369540.65,9668.0,353418.65,20884.0,125600.0,64489.0,163329.65,22723.0,140606.65,13211.0,127395.65,18272.0,0.0,0.0,20.42308723730298,4.224934325744308,29.71942710091124,29.381003206209925,4.944060074249072,11852.0,3.2610591900311525,3.1440809968847354,2.8973520249221183,6420.0,25.931157294213534,25.508826405867968,8.054604726976365,6135.0,39.51697892271663,39.0304449648712,1.9355971896955504,1708.0,31.34247942130207,31.19555999002245,1.465702170117236,4009.0,17.007020383693042,16.56553357314149,4.080735411670664,,,,,,,,,,,
2020-11-09,289680.0,282492.0,279621.0,30334,29522.0,3160.0,246776.0,10222.0,26625.0,1458.0,241344.0,10194.0,219948.0,26828.0,16503.0,21706.0,181739.0,30074.0,151665.0,21864.0,129801.0,22813.0,0.0,0.0,11.020295445579276,3.716915793626441,15.789251547552054,15.43141530669668,4.251969611705121,14216.0,3.134349191578458,3.0943352332208915,2.83215075026172,8597.0,19.180253059531214,18.721115951047498,5.280232316946691,9642.0,17.478125,17.40546875,2.0109375,1280.0,5.207043108682453,5.03491196114147,2.1129326047358834,3294.0,10.057393629787088,9.730963074707716,3.5405081084787597,,,,,,,,,,,
2020-11-16,211015.105,199262.105,196795.105,25733,30743.0,3579.0,161817.105,14876.0,28276.0,1977.0,152067.105,14475.0,124993.105,36824.0,6813.0,5268.0,112912.105,26469.0,86443.10500000001,8037.0,78406.10500000001,16539.0,0.0,0.0,9.633781062942136,3.7788862688191545,18.45112324845563,17.011617447642006,4.83411179749887,6637.0,3.723793173096344,3.703898202383357,3.071601696626944,9902.0,23.273861814345988,21.3215411392405,6.106751054852321,4740.0,6.4056720098643645,6.220715166461159,1.6029593094944512,811.0,6.396869244935544,6.2587476979742185,1.6924493554327809,1086.0,8.360140003994408,7.787501697623327,3.459436788496105,,,,,,,,,,,
2020-11-23,346283.715,338261.715,334624.715,33888,74500.0,28501.0,208900.71500000003,34382.0,70638.0,25514.0,204181.715,34291.0,173792.71500000005,35108.0,20469.0,9090.0,144233.715,23030.0,121203.715,3581.0,117622.715,16005.0,0.0,0.0,13.495202436738515,3.7050921587004058,31.0282433127572,30.245492969821672,5.1920438957476,5832.0,3.4438218814509,3.4286837707657525,2.8526491693699008,10173.0,43.292130471859004,42.16023735076748,7.47072200113701,3518.0,11.617231638418081,11.06638418079096,1.96045197740113,708.0,12.721046077210461,12.600871731008716,1.6251556662515567,1606.0,11.047133307176917,10.679806694030301,3.725629262992696,,,,,,,,,,,
2020-11-30,363284.023,348694.02300000004,345251.02300000004,30918,70297.0,50149.0,224635.023,18203.0,66788.0,42407.0,217895.023,18161.0,188764.02300000002,35871.0,25257.0,13297.0,150210.02300000002,33088.0,117122.023,5453.0,111669.023,16974.0,0.0,0.0,12.731296276658421,4.263520678685048,30.089211994654196,28.989312228533247,6.814233210825258,5986.0,3.2751183108846016,3.2609210047324355,2.8739534037131422,10988.0,40.53614252807371,38.85229570976101,10.515116613878492,3473.0,13.094095940959411,12.722324723247233,1.8579335793357932,1084.0,17.591322603219034,17.358292512246326,1.5794261721483556,1429.0,11.679855184378829,11.040890699414888,4.477581983943394,,,,,,,,,,,
2020-12-07,259128.725,243111.725,239487.725,29652,27942.0,11438.0,200528.725,19220.0,24313.0,7189.0,191127.725,16858.0,180349.725,20179.0,66838.0,10589.0,102922.725,17959.0,84963.725,16793.46,68170.265,18891.0,0.0,0.0,10.704236144195649,3.1827325181303268,15.713880268942333,14.910673648823378,3.6469269890526683,11601.0,2.7320987654320987,2.7207133058984905,2.4440329218107,7290.0,12.140271080795017,11.906000823238854,4.317299776549453,8503.0,11.645676691729324,11.61372180451128,2.7302631578947367,1064.0,32.78121927236972,29.19616519174041,1.323992133726647,2034.0,9.366839851091514,8.705245229145584,3.302370970073732,,,,,,,,,,,
